"","x"
"z[1]",1
"z[2]",0.94201
"z[3]",0.87618
"z[4]",0.81591
"z[5]",0.6751
"z[6]",0.58965
"z[7]",0.45356
"z[8]",0.12617
"z[9]",0.13414
"z[10]",0.14037
"z[11]",0.14576
"z[12]",0.15235
"z[13]",0.14881
"z[14]",0.13199
"z[15]",0.45596
"z[16]",0.5882
"z[17]",0.65036
"z[18]",0.77504
"z[19]",0.82334
"z[20]",0.84169
"z[21]",0.8533
"z[22]",0.9324
"z[23]",0.96411
"z[24]",0.97957
"z[25]",0.98538
"z[26]",0.98915
"z[27]",0.99485
"z[28]",0.99729
"z[29]",0.99785
"z[30]",0.99897
"z[31]",0.99911
"z[32]",0.9986
"z[33]",0.99805
"z[34]",0.99705
"z[35]",0.9985
"z[36]",0.99882
"z[37]",0.999
"z[38]",0.99852
"z[39]",0.99914
"z[40]",0.99938
"z[41]",0.99928
"z[42]",0.99923
"z[43]",0.99913
"z[44]",0.99887
"z[45]",0.99922
"z[46]",0.99898
"z[47]",0.99899
"z[48]",0.99936
"z[49]",0.99947
"z[50]",0.99962
"z[51]",0.99948
"z[52]",0.99912
"z[53]",0.99918
"z[54]",0.99901
"z[55]",0.99849
"z[56]",0.99785
"z[57]",0.99876
"z[58]",0.99899
"z[59]",0.99848
"z[60]",0.99888
"z[61]",0.99891
"z[62]",0.99886
"z[63]",0.99852
"z[64]",0.99765
"z[65]",0.99842
"z[66]",0.99915
"z[67]",0.99949
"z[68]",0.99956
"z[69]",0.9996
"z[70]",0.99949
"z[71]",0.99933
"z[72]",0.99907
"z[73]",0.99835
"z[74]",0.99686
"z[75]",0.99675
"z[76]",0.99645
"z[77]",0.99653
"z[78]",0.99833
"z[79]",0.99894
"z[80]",0.99899
"z[81]",0.99866
"z[82]",0.9993
"z[83]",0.99964
"z[84]",0.99961
"z[85]",0.99949
"z[86]",0.99907
"z[87]",0.99877
"z[88]",0.99802
"z[89]",0.99642
"z[90]",0.99165
"z[91]",0.97908
"z[92]",0.98971
"z[93]",0.99557
"z[94]",0.99792
"z[95]",0.99884
"z[96]",0.99913
"z[97]",0.99898
"z[98]",0.99906
"z[99]",0.99877
"z[100]",0.99787
"z[101]",0.99552
"z[102]",0.99455
"z[103]",0.9974
"z[104]",0.9984
"z[105]",0.99878
"z[106]",0.99855
"z[107]",0.99877
"z[108]",0.9982
"z[109]",0.99715
"z[110]",0.99567
"z[111]",0.99597
"z[112]",0.99566
"z[113]",0.99631
"z[114]",0.99628
"z[115]",0.9956
"z[116]",0.993
"z[117]",0.99615
"z[118]",0.99726
"z[119]",0.99714
"z[120]",0.99573
"z[121]",0.99702
"z[122]",0.9984
"z[123]",0.99883
"z[124]",0.99906
"z[125]",0.99924
"z[126]",0.99911
"z[127]",0.99857
"z[128]",0.99682
"z[129]",0.99685
"z[130]",0.99683
"z[131]",0.99537
"z[132]",0.99408
"z[133]",0.99387
"z[134]",0.99416
"z[135]",0.99314
"z[136]",0.98953
"z[137]",0.98282
"z[138]",0.97569
"z[139]",0.9571
"z[140]",0.94183
"z[141]",0.94737
"z[142]",0.94653
"z[143]",0.93881
"z[144]",0.91923
"z[145]",0.89062
"z[146]",0.82996
"z[147]",0.6742
"z[148]",0.28636
"z[149]",0.02226
"z[150]",0.00042
"z[151]",0.01301
"z[152]",0.01796
"z[153]",0.02121
"z[154]",0.02053
"z[155]",0.02267
"z[156]",0.02251
"z[157]",0.01696
"z[158]",0.00063
"z[159]",0.00066
"z[160]",0.00118
"z[161]",7e-05
"z[162]",8e-05
"z[163]",0
"z[164]",0.00025
"z[165]",0.00013
"z[166]",0.07685
"z[167]",0.10642
"z[168]",0.12475
"z[169]",0.25271
"z[170]",0.3936
"z[171]",0.44594
"z[172]",0.46539
"z[173]",0.49962
"z[174]",0.52339
"z[175]",0.53416
"z[176]",0.53272
"z[177]",0.51821
"z[178]",0.51282
"z[179]",0.49639
"z[180]",0.45129
"z[181]",0.33487
"z[182]",0.14059
"z[183]",0.10375
"z[184]",0.00862
"z[185]",0.00636
"z[186]",0.00417
"z[187]",0.00173
"z[188]",0.00056
"z[189]",5e-05
"z[190]",0.00715
"z[191]",0.00912
"z[192]",0.0127
"z[193]",0.01244
"z[194]",0.00877
"z[195]",5e-05
"z[196]",9e-05
"z[197]",0.00013
"z[198]",0.00047
"z[199]",0.00109
"z[200]",0.00112
"z[201]",0.00198
"z[202]",0.00096
"z[203]",0.00243
"z[204]",0.0255
"z[205]",0.03679
"z[206]",0.04381
"z[207]",0.04292
"z[208]",0.03946
"z[209]",0.05104
"z[210]",0.06137
"z[211]",0.06544
"z[212]",0.06232
"z[213]",0.05655
"z[214]",0.05633
"z[215]",0.05297
"z[216]",0.04919
"z[217]",0.06571
"z[218]",0.07193
"z[219]",0.13428
"z[220]",0.42733
"z[221]",0.59197
"z[222]",0.6957
"z[223]",0.82543
"z[224]",0.87599
"z[225]",0.90211
"z[226]",0.95627
"z[227]",0.97738
"z[228]",0.98675
"z[229]",0.99051
"z[230]",0.9921
"z[231]",0.99193
"z[232]",0.99034
"z[233]",0.99426
"z[234]",0.99624
"z[235]",0.99709
"z[236]",0.99842
"z[237]",0.99888
"z[238]",0.9989
"z[239]",0.99858
"z[240]",0.99845
"z[241]",0.99893
"z[242]",0.99903
"z[243]",0.99913
"z[244]",0.99846
"z[245]",0.99853
"z[246]",0.99819
"z[247]",0.99665
"z[248]",0.99306
"z[249]",0.98681
"z[250]",0.97125
"z[251]",0.95156
"z[252]",0.90202
"z[253]",0.78823
"z[254]",0.7113
"z[255]",0.68524
"z[256]",0.62081
"z[257]",0.61812
"z[258]",0.59861
"z[259]",0.586
"z[260]",0.56633
"z[261]",0.5082
"z[262]",0.44103
"z[263]",0.28446
"z[264]",0.01033
"z[265]",0.11143
"z[266]",0.24069
"z[267]",0.30045
"z[268]",0.34792
"z[269]",0.36877
"z[270]",0.40252
"z[271]",0.41186
"z[272]",0.40599
"z[273]",0.37866
"z[274]",0.36771
"z[275]",0.34723
"z[276]",0.29307
"z[277]",0.26985
"z[278]",0.23024
